Time GPS,Mission time,aire abajo Celsius,aire abajo Volts,aire abajo Vcc,aire arriba Celsius,aire arriba Volts,aire arriba Vcc,placa abajo Celsius,placa abajo Volts,placa abajo Vcc,placa arriba Celsius,placa arriba Volts,placa arriba Vcc,infinito Celsius,infinito Volts,infinito Vcc,exterior Celsius,exterior Volts,exterior Vcc,anemometro Celsius,anemometro Volts,anemometro Vcc
Thu 1970-01-01 01:00:00 CET,57.529890,31.705248,2.624780,4.851560,30.613272,2.621640,4.854160,28.139961,2.611160,4.853960,27.918516,2.610420,4.854320,31.289608,2.622620,4.850760,30.362978,2.620120,4.853280,258.498413,3.271160,4.852240
Thu 1970-01-01 01:00:00 CET,58.523607,31.072788,2.618540,4.844880,30.663876,2.615240,4.841920,28.339397,2.605220,4.841360,28.704807,2.601520,4.831640,31.444744,2.616040,4.837400,30.411022,2.613820,4.841240,261.362457,3.271000,4.843760
Thu 1970-01-01 01:00:00 CET,59.530031,31.390865,2.618780,4.842880,30.955471,2.617620,4.844080,28.438044,2.606560,4.843080,28.245737,2.605300,4.842240,31.453548,2.619040,4.842880,30.651348,2.615620,4.842720,261.292633,3.271000,4.843960
Thu 1970-01-01 01:00:00 CET,60.522806,31.595545,2.618980,4.841680,31.011005,2.617440,4.843320,28.803186,2.607080,4.841200,28.455608,2.603060,4.836440,31.296812,2.618260,4.842640,30.739626,2.620460,4.851000,257.225800,3.270100,4.854360
Thu 1970-01-01 01:00:00 CET,61.529755,31.558876,2.623220,4.849800,31.102587,2.622880,4.852680,28.864283,2.611860,4.849600,28.385691,2.611980,4.853560,31.028921,2.622400,4.852360,30.864508,2.621240,4.851480,258.003326,3.270220,4.852280
Thu 1970-01-01 01:00:00 CET,62.531727,31.574394,2.625080,4.853120,31.128847,2.622600,4.851960,28.987280,2.613540,4.851760,27.886839,2.609340,4.852560,31.073742,2.621960,4.851200,30.984499,2.622280,4.852480,259.350983,3.270960,4.849480
Time GPS,Mission time,aire abajo Celsius,aire abajo Volts,aire abajo Vcc,aire arriba Celsius,aire arriba Volts,aire arriba Vcc,placa abajo Celsius,placa abajo Volts,placa abajo Vcc,placa arriba Celsius,placa arriba Volts,placa arriba Vcc,infinito Celsius,infinito Volts,infinito Vcc,exterior Celsius,exterior Volts,exterior Vcc,anemometro Celsius,anemometro Volts,anemometro Vcc
Thu 1970-01-01 01:00:00 CET,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Thu 1970-01-01 01:00:00 CET,0.533074,31.515156,2.624120,4.851800,31.369499,2.622260,4.849480,28.429001,2.610720,4.850880,28.200123,2.610940,4.853080,30.836958,2.622400,4.853840,30.768007,2.621140,4.852040,257.892944,3.270840,4.853520
Thu 1970-01-01 01:00:00 CET,1.525869,31.807720,2.623820,4.849000,31.324951,2.622940,4.851080,28.583757,2.611780,4.851640,28.338045,2.610660,4.851480,31.423655,2.623480,4.851320,30.389971,2.620060,4.852960,258.043304,3.270460,4.852520
Thu 1970-01-01 01:00:00 CET,2.531465,31.894058,2.618420,4.838360,31.170467,2.616200,4.839800,27.961605,2.604600,4.843160,27.516354,2.602660,4.843040,31.254082,2.617520,4.841600,31.578026,2.616960,4.838080,261.910065,3.270220,4.841040
