HTL state,Time GPS,Mission time,MGT-X raw,MGT-Y raw,MGT-Z raw,MGT-X mgauss,MGT-Y mgauss,MGT-Z mgauss,ACC-X raw,ACC-Y raw,ACC-Z raw,ACC-X mg,ACC-Y mg,ACC-Z mg,GYRO-X raw,GYRO-Y raw,GYRO-Z raw,GYRO-X mdps,GYRO-Y mdps,GYRO-Z mdps,Temp raw,Temp Celsius
A1,Thu 1970-01-01 01:00:00 CET,51.0422,-2457,1370,-513,-343.980011,191.800003,-71.820000,-12,-45,1357,-8.784000,-32.939999,993.323975,79,-43,41,5530.000000,-3010.000000,2870.000000,33,27.014160
A1,Thu 1970-01-01 01:00:00 CET,52.0391,-2497,1337,-524,-349.579987,187.180008,-73.360001,-12,-43,1352,-8.784000,-31.476000,989.664001,76,-47,43,5320.000000,-3290.000000,3010.000000,36,27.197266
A1,Thu 1970-01-01 01:00:00 CET,53.043,-2462,1357,-538,-344.679993,189.979996,-75.320000,-14,-47,1354,-10.248000,-34.403999,991.127991,80,-46,39,5600.000000,-3220.000000,2730.000000,36,27.197266
A1,Thu 1970-01-01 01:00:00 CET,54.0432,-2458,1349,-551,-344.119995,188.860001,-77.139999,-8,-44,1354,-5.856000,-32.208000,991.127991,84,-44,43,5880.000000,-3080.000000,3010.000000,37,27.258301
A1,Thu 1970-01-01 01:00:00 CET,55.0444,-2447,1355,-533,-342.579987,189.699997,-74.620003,-10,-44,1356,-7.320000,-32.208000,992.591980,81,-43,44,5670.000000,-3010.000000,3080.000000,33,27.014160
A1,Thu 1970-01-01 01:00:00 CET,56.0438,-2496,1385,-572,-349.440002,193.899994,-80.080002,-9,-44,1355,-6.588000,-32.208000,991.859985,78,-42,43,5460.000000,-2940.000000,3010.000000,38,27.319336
A1,Thu 1970-01-01 01:00:00 CET,57.0438,-2497,1351,-567,-349.579987,189.139999,-79.379997,-8,-42,1355,-5.856000,-30.743999,991.859985,82,-44,44,5740.000000,-3080.000000,3080.000000,36,27.197266
A1,Thu 1970-01-01 01:00:00 CET,58.0435,-2504,1345,-515,-350.559998,188.300003,-72.099998,-11,-49,1355,-8.052000,-35.868000,991.859985,77,-44,43,5390.000000,-3080.000000,3010.000000,37,27.258301
A1,Thu 1970-01-01 01:00:00 CET,59.0443,-2460,1356,-447,-344.399994,189.839996,-62.580002,-9,-40,1353,-6.588000,-29.279999,990.395996,80,-43,41,5600.000000,-3010.000000,2870.000000,36,27.197266
A1,Thu 1970-01-01 01:00:00 CET,60.044,-2496,1426,-453,-349.440002,199.639999,-63.420002,-7,-43,1351,-5.124000,-31.476000,988.932007,80,-46,42,5600.000000,-3220.000000,2940.000000,34,27.075195
A1,Thu 1970-01-01 01:00:00 CET,61.0441,-2434,1334,-617,-340.760010,186.759995,-86.379997,-11,-43,1357,-8.052000,-31.476000,993.323975,78,-47,42,5460.000000,-3290.000000,2940.000000,37,27.258301
A1,Thu 1970-01-01 01:00:00 CET,62.0437,-2511,1403,-549,-351.540009,196.419998,-76.860001,-6,-45,1354,-4.392000,-32.939999,991.127991,74,-47,46,5180.000000,-3290.000000,3220.000000,37,27.258301
A1,Thu 1970-01-01 01:00:00 CET,63.0429,-2462,1327,-499,-344.679993,185.779999,-69.860001,-12,-43,1356,-8.784000,-31.476000,992.591980,73,-45,43,5110.000000,-3150.000000,3010.000000,37,27.258301
A1,Thu 1970-01-01 01:00:00 CET,64.0428,-2473,1358,-437,-346.220001,190.119995,-61.180000,-9,-43,1353,-6.588000,-31.476000,990.395996,79,-43,42,5530.000000,-3010.000000,2940.000000,37,27.258301
A1,Thu 1970-01-01 01:00:00 CET,65.0411,-2441,1361,-549,-341.739990,190.539993,-76.860001,-10,-43,1351,-7.320000,-31.476000,988.932007,80,-45,40,5600.000000,-3150.000000,2800.000000,38,27.319336
A1,Thu 1970-01-01 01:00:00 CET,66.0434,-2463,1390,-521,-344.820007,194.600006,-72.940002,-8,-45,1356,-5.856000,-32.939999,992.591980,79,-46,45,5530.000000,-3220.000000,3150.000000,37,27.258301
A1,Thu 1970-01-01 01:00:00 CET,67.0431,-2527,1392,-450,-353.779999,194.880005,-63.000000,-10,-44,1355,-7.320000,-32.208000,991.859985,82,-44,43,5740.000000,-3080.000000,3010.000000,39,27.380371
A1,Thu 1970-01-01 01:00:00 CET,68.0433,-2462,1333,-484,-344.679993,186.619995,-67.760002,-9,-41,1353,-6.588000,-30.011999,990.395996,82,-47,43,5740.000000,-3290.000000,3010.000000,38,27.319336
A1,Thu 1970-01-01 01:00:00 CET,69.0432,-2442,1339,-527,-341.880005,187.460007,-73.779999,-9,-43,1354,-6.588000,-31.476000,991.127991,84,-45,38,5880.000000,-3150.000000,2660.000000,38,27.319336
A1,Thu 1970-01-01 01:00:00 CET,70.0434,-2464,1356,-532,-344.959991,189.839996,-74.480003,-14,-41,1359,-10.248000,-30.011999,994.787964,86,-47,44,6020.000000,-3290.000000,3080.000000,38,27.319336
A1,Thu 1970-01-01 01:00:00 CET,71.0431,-2482,1369,-576,-347.480011,191.660004,-80.639999,-13,-46,1356,-9.516000,-33.672001,992.591980,78,-45,44,5460.000000,-3150.000000,3080.000000,37,27.258301
A1,Thu 1970-01-01 01:00:00 CET,72.0431,-2472,1415,-590,-346.079987,198.100006,-82.599998,-9,-45,1355,-6.588000,-32.939999,991.859985,73,-46,41,5110.000000,-3220.000000,2870.000000,34,27.075195
A1,Thu 1970-01-01 01:00:00 CET,73.0445,-2501,1372,-529,-350.140015,192.080002,-74.059998,-11,-40,1354,-8.052000,-29.279999,991.127991,78,-41,42,5460.000000,-2870.000000,2940.000000,38,27.319336
A1,Thu 1970-01-01 01:00:00 CET,74.0431,-2458,1275,-510,-344.119995,178.500000,-71.400002,-9,-44,1355,-6.588000,-32.208000,991.859985,75,-44,45,5250.000000,-3080.000000,3150.000000,38,27.319336
A1,Thu 1970-01-01 01:00:00 CET,75.044,-2410,1319,-490,-337.399994,184.660004,-68.599998,-8,-40,1353,-5.856000,-29.279999,990.395996,76,-44,46,5320.000000,-3080.000000,3220.000000,41,27.502441
A1,Thu 1970-01-01 01:00:00 CET,76.041,-2474,1359,-504,-346.360016,190.259995,-70.559998,-10,-40,1352,-7.320000,-29.279999,989.664001,80,-44,41,5600.000000,-3080.000000,2870.000000,39,27.380371
A1,Thu 1970-01-01 01:00:00 CET,77.0424,-2473,1347,-528,-346.220001,188.580002,-73.919998,-12,-43,1359,-8.784000,-31.476000,994.787964,78,-43,41,5460.000000,-3010.000000,2870.000000,37,27.258301
A1,Thu 1970-01-01 01:00:00 CET,78.0423,-2433,1379,-573,-340.619995,193.059998,-80.220001,-12,-45,1355,-8.784000,-32.939999,991.859985,80,-42,39,5600.000000,-2940.000000,2730.000000,38,27.319336
A1,Thu 1970-01-01 01:00:00 CET,79.0433,-2462,1422,-610,-344.679993,199.080002,-85.400002,-8,-44,1355,-5.856000,-32.208000,991.859985,74,-48,41,5180.000000,-3360.000000,2870.000000,37,27.258301
A1,Thu 1970-01-01 01:00:00 CET,80.0432,-2511,1426,-558,-351.540009,199.639999,-78.120003,-6,-47,1351,-4.392000,-34.403999,988.932007,86,-47,45,6020.000000,-3290.000000,3150.000000,40,27.441406
A1,Thu 1970-01-01 01:00:00 CET,81.0432,-2444,1357,-556,-342.160004,189.979996,-77.840004,-11,-42,1358,-8.052000,-30.743999,994.055969,79,-44,43,5530.000000,-3080.000000,3010.000000,39,27.380371
A1,Thu 1970-01-01 01:00:00 CET,82.0444,-2491,1401,-508,-348.739990,196.139999,-71.120003,-9,-41,1356,-6.588000,-30.011999,992.591980,80,-46,43,5600.000000,-3220.000000,3010.000000,39,27.380371
A1,Thu 1970-01-01 01:00:00 CET,83.0432,-2461,1380,-523,-344.540009,193.199997,-73.220001,-10,-42,1355,-7.320000,-30.743999,991.859985,85,-47,40,5950.000000,-3290.000000,2800.000000,40,27.441406
A1,Thu 1970-01-01 01:00:00 CET,84.0432,-2464,1398,-494,-344.959991,195.720001,-69.160004,-6,-44,1353,-4.392000,-32.208000,990.395996,81,-46,40,5670.000000,-3220.000000,2800.000000,40,27.441406
A1,Thu 1970-01-01 01:00:00 CET,85.0431,-2449,1416,-546,-342.860016,198.240005,-76.440002,-10,-39,1353,-7.320000,-28.548000,990.395996,80,-46,43,5600.000000,-3220.000000,3010.000000,38,27.319336
A1,Thu 1970-01-01 01:00:00 CET,86.0421,-2415,1409,-560,-338.100006,197.259995,-78.400002,-10,-41,1352,-7.320000,-30.011999,989.664001,80,-45,39,5600.000000,-3150.000000,2730.000000,37,27.258301
A1,Thu 1970-01-01 01:00:00 CET,87.0424,-2449,1367,-529,-342.860016,191.380005,-74.059998,-10,-47,1356,-7.320000,-34.403999,992.591980,80,-46,41,5600.000000,-3220.000000,2870.000000,40,27.441406
A1,Thu 1970-01-01 01:00:00 CET,88.044,-2473,1360,-481,-346.220001,190.399994,-67.340004,-9,-42,1357,-6.588000,-30.743999,993.323975,81,-46,40,5670.000000,-3220.000000,2800.000000,40,27.441406
A1,Thu 1970-01-01 01:00:00 CET,89.0425,-2406,1349,-524,-336.839996,188.860001,-73.360001,-7,-43,1353,-5.124000,-31.476000,990.395996,79,-46,44,5530.000000,-3220.000000,3080.000000,39,27.380371
A1,Thu 1970-01-01 01:00:00 CET,90.0425,-2456,1361,-551,-343.839996,190.539993,-77.139999,-11,-49,1354,-8.052000,-35.868000,991.127991,81,-46,41,5670.000000,-3220.000000,2870.000000,37,27.258301
A1,Thu 1970-01-01 01:00:00 CET,91.044,-2434,1354,-621,-340.760010,189.559998,-86.940002,-11,-42,1354,-8.052000,-30.743999,991.127991,75,-43,44,5250.000000,-3010.000000,3080.000000,38,27.319336
A1,Thu 1970-01-01 01:00:00 CET,92.0435,-2403,1335,-473,-336.420013,186.899994,-66.220001,-6,-41,1355,-4.392000,-30.011999,991.859985,80,-48,39,5600.000000,-3360.000000,2730.000000,39,27.380371
A1,Thu 1970-01-01 01:00:00 CET,93.0433,-2418,1379,-494,-338.519989,193.059998,-69.160004,-12,-41,1354,-8.784000,-30.011999,991.127991,77,-45,44,5390.000000,-3150.000000,3080.000000,42,27.563477
A1,Thu 1970-01-01 01:00:00 CET,94.0429,-2448,1362,-479,-342.720001,190.680008,-67.059998,-11,-43,1355,-8.052000,-31.476000,991.859985,85,-47,43,5950.000000,-3290.000000,3010.000000,42,27.563477
A1,Thu 1970-01-01 01:00:00 CET,95.0422,-2401,1348,-481,-336.140015,188.720001,-67.340004,-13,-40,1355,-9.516000,-29.279999,991.859985,77,-42,43,5390.000000,-2940.000000,3010.000000,41,27.502441
A1,Thu 1970-01-01 01:00:00 CET,96.0422,-2446,1346,-509,-342.440002,188.440002,-71.260002,-9,-44,1358,-6.588000,-32.208000,994.055969,84,-45,42,5880.000000,-3150.000000,2940.000000,39,27.380371
A1,Thu 1970-01-01 01:00:00 CET,97.0423,-2417,1385,-549,-338.380005,193.899994,-76.860001,-10,-46,1356,-7.320000,-33.672001,992.591980,74,-45,43,5180.000000,-3150.000000,3010.000000,42,27.563477
A1,Thu 1970-01-01 01:00:00 CET,98.0417,-2429,1416,-550,-340.059998,198.240005,-77.000000,-6,-47,1354,-4.392000,-34.403999,991.127991,77,-43,43,5390.000000,-3010.000000,3010.000000,41,27.502441
A1,Thu 1970-01-01 01:00:00 CET,99.0423,-2362,1417,-580,-330.679993,198.380005,-81.199997,-10,-47,1357,-7.320000,-34.403999,993.323975,74,-46,42,5180.000000,-3220.000000,2940.000000,40,27.441406
A1,Thu 1970-01-01 01:00:00 CET,100.043,-2446,1388,-571,-342.440002,194.320007,-79.940002,-10,-42,1353,-7.320000,-30.743999,990.395996,81,-44,45,5670.000000,-3080.000000,3150.000000,41,27.502441
A1,Thu 1970-01-01 01:00:00 CET,101.042,-2374,1378,-529,-332.360016,192.919998,-74.059998,-12,-42,1355,-8.784000,-30.743999,991.859985,75,-45,43,5250.000000,-3150.000000,3010.000000,40,27.441406
A1,Thu 1970-01-01 01:00:00 CET,102.042,-2447,1368,-454,-342.579987,191.520004,-63.560001,-7,-45,1355,-5.124000,-32.939999,991.859985,76,-45,43,5320.000000,-3150.000000,3010.000000,37,27.258301
A1,Thu 1970-01-01 01:00:00 CET,103.042,-2447,1407,-518,-342.579987,196.979996,-72.519997,-11,-46,1354,-8.052000,-33.672001,991.127991,81,-45,44,5670.000000,-3150.000000,3080.000000,42,27.563477
A1,Thu 1970-01-01 01:00:00 CET,104.038,-2436,1408,-476,-341.040009,197.119995,-66.639999,-8,-46,1355,-5.856000,-33.672001,991.859985,80,-42,43,5600.000000,-2940.000000,3010.000000,41,27.502441
A1,Thu 1970-01-01 01:00:00 CET,105.043,-2484,1355,-426,-347.760010,189.699997,-59.639999,-13,-43,1355,-9.516000,-31.476000,991.859985,78,-41,40,5460.000000,-2870.000000,2800.000000,40,27.441406
A1,Thu 1970-01-01 01:00:00 CET,106.043,-2423,1363,-420,-339.220001,190.820007,-58.799999,-12,-47,1353,-8.784000,-34.403999,990.395996,85,-48,44,5950.000000,-3360.000000,3080.000000,39,27.380371
A1,Thu 1970-01-01 01:00:00 CET,107.042,-2409,1357,-430,-337.260010,189.979996,-60.200001,-10,-43,1357,-7.320000,-31.476000,993.323975,83,-50,43,5810.000000,-3500.000000,3010.000000,41,27.502441
A1,Thu 1970-01-01 01:00:00 CET,108.042,-2447,1362,-440,-342.579987,190.680008,-61.599998,-14,-44,1356,-10.248000,-32.208000,992.591980,75,-46,45,5250.000000,-3220.000000,3150.000000,43,27.624512
A1,Thu 1970-01-01 01:00:00 CET,109.044,-2439,1353,-442,-341.459991,189.419998,-61.880001,-5,-41,1355,-3.660000,-30.011999,991.859985,81,-42,42,5670.000000,-2940.000000,2940.000000,40,27.441406
A1,Thu 1970-01-01 01:00:00 CET,110.043,-2437,1367,-482,-341.179993,191.380005,-67.480003,-13,-37,1355,-9.516000,-27.084000,991.859985,82,-41,39,5740.000000,-2870.000000,2730.000000,43,27.624512
A1,Thu 1970-01-01 01:00:00 CET,111.044,-2466,1344,-415,-345.239990,188.160004,-58.099998,-11,-44,1355,-8.052000,-32.208000,991.859985,76,-45,38,5320.000000,-3150.000000,2660.000000,41,27.502441
A1,Thu 1970-01-01 01:00:00 CET,112.044,-2442,1336,-479,-341.880005,187.039993,-67.059998,-11,-39,1354,-8.052000,-28.548000,991.127991,81,-49,42,5670.000000,-3430.000000,2940.000000,44,27.685547
A1,Thu 1970-01-01 01:00:00 CET,113.044,-2443,1353,-498,-342.019989,189.419998,-69.720001,-12,-42,1356,-8.784000,-30.743999,992.591980,81,-46,41,5670.000000,-3220.000000,2870.000000,42,27.563477
