Time GPS,Mission time,MGT-X raw,MGT-Y raw,MGT-Z raw,MGT-X mgauss,MGT-Y mgauss,MGT-Z mgauss,ACC-X raw,ACC-Y raw,ACC-Z raw,ACC-X mg,ACC-Y mg,ACC-Z mg,GYRO-X raw,GYRO-Y raw,GYRO-Z raw,GYRO-X mdps,GYRO-Y mdps,GYRO-Z mdps,Temp raw,Temp Celsius
Thu 1970-01-01 01:00:00 CET,21.0147,899,3253,346,125.860001,455.420013,48.439999,-15,-29,1350,-10.980000,-21.228001,988.200012,105,45,41,7350.000000,3150.000000,2870.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,22.0148,887,3219,383,124.180000,450.660004,53.619999,-13,-21,1346,-9.516000,-15.372000,985.271973,106,49,39,7420.000000,3430.000000,2730.000000,174,35.620117
Thu 1970-01-01 01:00:00 CET,23.0149,898,3186,382,125.720001,446.040009,53.480000,-19,-24,1347,-13.908000,-17.568001,986.003967,111,50,43,7770.000000,3500.000000,3010.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,24.015,915,3243,324,128.100006,454.019989,45.360001,-18,-27,1346,-13.176000,-19.764000,985.271973,106,49,44,7420.000000,3430.000000,3080.000000,176,35.742188
Thu 1970-01-01 01:00:00 CET,25.0145,864,3248,383,120.959999,454.720001,53.619999,-16,-30,1349,-11.712000,-21.959999,987.468018,111,52,44,7770.000000,3640.000000,3080.000000,174,35.620117
Thu 1970-01-01 01:00:00 CET,26.014,871,3192,364,121.940002,446.880005,50.959999,-16,-27,1342,-11.712000,-19.764000,982.343994,109,45,42,7630.000000,3150.000000,2940.000000,176,35.742188
Thu 1970-01-01 01:00:00 CET,27.015,912,3243,296,127.680000,454.019989,41.439999,-14,-32,1346,-10.248000,-23.424000,985.271973,106,48,43,7420.000000,3360.000000,3010.000000,179,35.925293
Thu 1970-01-01 01:00:00 CET,28.0161,917,3177,248,128.380005,444.779999,34.720001,-16,-29,1343,-11.712000,-21.228001,983.075989,107,49,43,7490.000000,3430.000000,3010.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,29.0142,897,3217,332,125.580002,450.380005,46.480000,-18,-28,1345,-13.176000,-20.496000,984.539978,111,47,44,7770.000000,3290.000000,3080.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,30.0135,894,3203,359,125.160004,448.420013,50.259998,-16,-32,1350,-11.712000,-23.424000,988.200012,108,54,43,7560.000000,3780.000000,3010.000000,179,35.925293
Thu 1970-01-01 01:00:00 CET,31.0127,868,3253,387,121.520004,455.420013,54.180000,-11,-27,1347,-8.052000,-19.764000,986.003967,106,52,41,7420.000000,3640.000000,2870.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,32.0148,917,3251,395,128.380005,455.140015,55.299999,-16,-28,1343,-11.712000,-20.496000,983.075989,107,47,41,7490.000000,3290.000000,2870.000000,176,35.742188
Thu 1970-01-01 01:00:00 CET,33.0159,879,3202,341,123.059998,448.279999,47.740002,-13,-28,1345,-9.516000,-20.496000,984.539978,109,47,41,7630.000000,3290.000000,2870.000000,176,35.742188
Thu 1970-01-01 01:00:00 CET,34.0152,886,3212,343,124.040001,449.679993,48.020000,-16,-28,1351,-11.712000,-20.496000,988.932007,108,50,43,7560.000000,3500.000000,3010.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,35.0145,888,3224,407,124.320000,451.360016,56.980000,-20,-27,1346,-14.639999,-19.764000,985.271973,111,52,45,7770.000000,3640.000000,3150.000000,176,35.742188
Thu 1970-01-01 01:00:00 CET,36.0149,799,3232,368,111.860001,452.480011,51.520000,-14,-26,1356,-10.248000,-19.032000,992.591980,113,49,45,7910.000000,3430.000000,3150.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,37.0158,862,3206,356,120.680000,448.839996,49.840000,-19,-26,1347,-13.908000,-19.032000,986.003967,102,49,43,7140.000000,3430.000000,3010.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,38.0149,865,3199,367,121.099998,447.860016,51.380001,-17,-25,1341,-12.444000,-18.299999,981.612000,110,52,40,7700.000000,3640.000000,2800.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,39.0143,884,3195,318,123.760002,447.299988,44.520000,-16,-27,1345,-11.712000,-19.764000,984.539978,108,49,44,7560.000000,3430.000000,3080.000000,176,35.742188
Thu 1970-01-01 01:00:00 CET,40.0152,865,3170,364,121.099998,443.799988,50.959999,-15,-27,1344,-10.980000,-19.764000,983.807983,109,48,44,7630.000000,3360.000000,3080.000000,174,35.620117
Thu 1970-01-01 01:00:00 CET,41.0147,864,3215,314,120.959999,450.100006,43.959999,-16,-25,1345,-11.712000,-18.299999,984.539978,106,50,42,7420.000000,3500.000000,2940.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,42.0126,834,3224,281,116.760002,451.360016,39.340000,-15,-26,1344,-10.980000,-19.032000,983.807983,111,49,38,7770.000000,3430.000000,2660.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,43.0138,819,3258,358,114.660004,456.119995,50.119999,-19,-23,1345,-13.908000,-16.836000,984.539978,103,49,41,7210.000000,3430.000000,2870.000000,174,35.620117
Thu 1970-01-01 01:00:00 CET,44.0148,886,3209,344,124.040001,449.260010,48.160000,-15,-30,1347,-10.980000,-21.959999,986.003967,105,50,41,7350.000000,3500.000000,2870.000000,175,35.681152
Time GPS,Mission time,MGT-X raw,MGT-Y raw,MGT-Z raw,MGT-X mgauss,MGT-Y mgauss,MGT-Z mgauss,ACC-X raw,ACC-Y raw,ACC-Z raw,ACC-X mg,ACC-Y mg,ACC-Z mg,GYRO-X raw,GYRO-Y raw,GYRO-Z raw,GYRO-X mdps,GYRO-Y mdps,GYRO-Z mdps,Temp raw,Temp Celsius
Thu 1970-01-01 01:00:00 CET,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0.000000
