HTL state;Time GPS;Mission time;heater-HTL;Time GPS;Mission time;heater-anemometer
A1;Fri 2021-07-16 07:29:35 CEST;103.114;1.322314;Fri 2021-07-16 07:29:35 CEST;103.114;0.8
A1;Fri 2021-07-16 07:29:36 CEST;104.114;1.322314;Fri 2021-07-16 07:29:36 CEST;104.114;0.8
A1;Fri 2021-07-16 07:29:36 CEST;105.114;1.322314;Fri 2021-07-16 07:29:36 CEST;105.114;0.8
A1;Fri 2021-07-16 07:29:37 CEST;106.114;1.322314;Fri 2021-07-16 07:29:37 CEST;106.114;0.8
A1;Fri 2021-07-16 07:29:37 CEST;107.116;1.322314;Fri 2021-07-16 07:29:37 CEST;107.116;0.8
A1;Fri 2021-07-16 07:29:38 CEST;108.114;1.322314;Fri 2021-07-16 07:29:38 CEST;108.114;0.8
A1;Fri 2021-07-16 07:29:38 CEST;109.114;1.322314;Fri 2021-07-16 07:29:38 CEST;109.114;0.8
A1;Fri 2021-07-16 07:29:39 CEST;110.114;1.322314;Fri 2021-07-16 07:29:39 CEST;110.114;0.8
A1;Fri 2021-07-16 07:29:39 CEST;111.114;1.322314;Fri 2021-07-16 07:29:39 CEST;111.114;0.8
A1;Fri 2021-07-16 07:29:40 CEST;112.114;1.322314;Fri 2021-07-16 07:29:40 CEST;112.114;0.8
A1;Fri 2021-07-16 07:29:40 CEST;113.114;1.322314;Fri 2021-07-16 07:29:40 CEST;113.114;0.8
A1;Fri 2021-07-16 07:29:41 CEST;114.117;1.322314;Fri 2021-07-16 07:29:41 CEST;114.117;0.8
A1;Fri 2021-07-16 07:29:41 CEST;115.114;1.322314;Fri 2021-07-16 07:29:41 CEST;115.114;0.8
A1;Fri 2021-07-16 07:29:42 CEST;116.116;1.322314;Fri 2021-07-16 07:29:42 CEST;116.116;0.8
A1;Fri 2021-07-16 07:29:42 CEST;117.114;1.322314;Fri 2021-07-16 07:29:42 CEST;117.114;0.8
A1;Fri 2021-07-16 07:29:43 CEST;118.114;1.322314;Fri 2021-07-16 07:29:43 CEST;118.114;0.8
A1;Fri 2021-07-16 07:29:43 CEST;119.114;1.322314;Fri 2021-07-16 07:29:43 CEST;119.114;0.8
A1;Fri 2021-07-16 07:29:44 CEST;120.114;1.322314;Fri 2021-07-16 07:29:44 CEST;120.114;0.8
A1;Fri 2021-07-16 07:29:44 CEST;121.114;1.322314;Fri 2021-07-16 07:29:44 CEST;121.114;0.8
A1;Fri 2021-07-16 07:29:45 CEST;122.114;1.322314;Fri 2021-07-16 07:29:45 CEST;122.114;0.8
A1;Fri 2021-07-16 07:29:45 CEST;123.114;1.322314;Fri 2021-07-16 07:29:45 CEST;123.114;0.8
A1;Fri 2021-07-16 07:29:46 CEST;124.114;1.322314;Fri 2021-07-16 07:29:46 CEST;124.114;0.8
A1;Fri 2021-07-16 07:29:46 CEST;125.116;1.322314;Fri 2021-07-16 07:29:46 CEST;125.116;0.8
A1;Fri 2021-07-16 07:29:47 CEST;126.114;1.322314;Fri 2021-07-16 07:29:47 CEST;126.114;0.8
A1;Fri 2021-07-16 07:29:47 CEST;127.114;1.322314;Fri 2021-07-16 07:29:47 CEST;127.114;0.8
A1;Fri 2021-07-16 07:29:48 CEST;128.113;1.322314;Fri 2021-07-16 07:29:48 CEST;128.113;0.8
A1;Fri 2021-07-16 07:29:48 CEST;129.114;1.322314;Fri 2021-07-16 07:29:48 CEST;129.114;0.8
A1;Fri 2021-07-16 07:29:49 CEST;130.114;1.322314;Fri 2021-07-16 07:29:49 CEST;130.114;0.8
A1;Fri 2021-07-16 07:29:49 CEST;131.114;1.322314;Fri 2021-07-16 07:29:49 CEST;131.114;0.8
A1;Fri 2021-07-16 07:29:50 CEST;132.114;1.322314;Fri 2021-07-16 07:29:50 CEST;132.114;0.8
A1;Fri 2021-07-16 07:29:50 CEST;133.114;1.322314;Fri 2021-07-16 07:29:50 CEST;133.114;0.8
A1;Fri 2021-07-16 07:29:51 CEST;134.116;1.322314;Fri 2021-07-16 07:29:51 CEST;134.116;0.8
A1;Fri 2021-07-16 07:29:51 CEST;135.114;1.322314;Fri 2021-07-16 07:29:51 CEST;135.114;0.8
A1;Fri 2021-07-16 07:29:52 CEST;136.114;1.322314;Fri 2021-07-16 07:29:52 CEST;136.114;0.8
A1;Fri 2021-07-16 07:29:52 CEST;137.114;1.322314;Fri 2021-07-16 07:29:52 CEST;137.114;0.8
A1;Fri 2021-07-16 07:29:53 CEST;138.114;1.322314;Fri 2021-07-16 07:29:53 CEST;138.114;0.8
A1;Fri 2021-07-16 07:29:53 CEST;139.113;1.322314;Fri 2021-07-16 07:29:53 CEST;139.113;0.8
A1;Fri 2021-07-16 07:29:54 CEST;140.113;1.322314;Fri 2021-07-16 07:29:54 CEST;140.113;0.8
A1;Fri 2021-07-16 07:29:54 CEST;141.114;1.322314;Fri 2021-07-16 07:29:54 CEST;141.114;0.8
A1;Fri 2021-07-16 07:29:55 CEST;142.114;1.322314;Fri 2021-07-16 07:29:55 CEST;142.114;0.8
A1;Fri 2021-07-16 07:29:55 CEST;143.116;1.322314;Fri 2021-07-16 07:29:55 CEST;143.116;0.8
A1;Fri 2021-07-16 07:29:56 CEST;144.114;1.322314;Fri 2021-07-16 07:29:56 CEST;144.114;0.8
A1;Fri 2021-07-16 07:29:56 CEST;145.114;1.322314;Fri 2021-07-16 07:29:56 CEST;145.114;0.8
A1;Fri 2021-07-16 07:29:57 CEST;146.114;1.322314;Fri 2021-07-16 07:29:57 CEST;146.114;0.8
A1;Fri 2021-07-16 07:29:57 CEST;147.114;1.322314;Fri 2021-07-16 07:29:57 CEST;147.114;0.8
A1;Fri 2021-07-16 07:29:58 CEST;148.114;1.322314;Fri 2021-07-16 07:29:58 CEST;148.114;0.8
A1;Fri 2021-07-16 07:29:58 CEST;149.114;1.322314;Fri 2021-07-16 07:29:58 CEST;149.114;0.8
A1;Fri 2021-07-16 07:29:59 CEST;150.114;1.322314;Fri 2021-07-16 07:29:59 CEST;150.114;0.8
A1;Fri 2021-07-16 07:29:59 CEST;151.114;1.322314;Fri 2021-07-16 07:29:59 CEST;151.114;0.8
A1;Fri 2021-07-16 07:30:00 CEST;152.116;1.322314;Fri 2021-07-16 07:30:00 CEST;152.116;0.8
A1;Fri 2021-07-16 07:30:00 CEST;153.114;1.322314;Fri 2021-07-16 07:30:00 CEST;153.114;0.8
A1;Fri 2021-07-16 07:30:01 CEST;154.114;1.322314;Fri 2021-07-16 07:30:01 CEST;154.114;0.8
A1;Fri 2021-07-16 07:30:01 CEST;155.114;1.322314;Fri 2021-07-16 07:30:01 CEST;155.114;0.8
A1;Fri 2021-07-16 07:30:02 CEST;156.114;1.322314;Fri 2021-07-16 07:30:02 CEST;156.114;0.8
A1;Fri 2021-07-16 07:30:02 CEST;157.114;1.322314;Fri 2021-07-16 07:30:02 CEST;157.114;0.8
A1;Fri 2021-07-16 07:30:03 CEST;158.114;1.322314;Fri 2021-07-16 07:30:03 CEST;158.114;0.8
A1;Fri 2021-07-16 07:30:03 CEST;159.114;1.322314;Fri 2021-07-16 07:30:03 CEST;159.114;0.8
A1;Fri 2021-07-16 07:30:04 CEST;160.114;1.322314;Fri 2021-07-16 07:30:04 CEST;160.114;0.8
A1;Fri 2021-07-16 07:30:04 CEST;161.114;1.322314;Fri 2021-07-16 07:30:04 CEST;161.114;0.8
A1;Fri 2021-07-16 07:30:05 CEST;162.113;1.322314;Fri 2021-07-16 07:30:05 CEST;162.113;0.8
A1;Fri 2021-07-16 07:30:05 CEST;163.114;1.322314;Fri 2021-07-16 07:30:05 CEST;163.114;0.8
A1;Fri 2021-07-16 07:30:06 CEST;164.113;1.322314;Fri 2021-07-16 07:30:06 CEST;164.113;0.8
A1;Fri 2021-07-16 07:30:06 CEST;165.113;1.322314;Fri 2021-07-16 07:30:06 CEST;165.113;0.8
A1;Fri 2021-07-16 07:30:07 CEST;166.113;1.322314;Fri 2021-07-16 07:30:07 CEST;166.113;0.8
A1;Fri 2021-07-16 07:30:07 CEST;167.114;1.322314;Fri 2021-07-16 07:30:07 CEST;167.114;0.8
A1;Fri 2021-07-16 07:30:08 CEST;168.113;1.322314;Fri 2021-07-16 07:30:08 CEST;168.113;0.8
A1;Fri 2021-07-16 07:30:08 CEST;169.114;1.322314;Fri 2021-07-16 07:30:08 CEST;169.114;0.8
A1;Fri 2021-07-16 07:30:09 CEST;170.115;1.322314;Fri 2021-07-16 07:30:09 CEST;170.115;0.8
A1;Fri 2021-07-16 07:30:09 CEST;171.114;1.322314;Fri 2021-07-16 07:30:09 CEST;171.114;0.8
A1;Fri 2021-07-16 07:30:10 CEST;172.113;1.322314;Fri 2021-07-16 07:30:10 CEST;172.113;0.8
A1;Fri 2021-07-16 07:30:10 CEST;173.114;1.322314;Fri 2021-07-16 07:30:10 CEST;173.114;0.8
A1;Fri 2021-07-16 07:30:11 CEST;174.113;1.322314;Fri 2021-07-16 07:30:11 CEST;174.113;0.8
A1;Fri 2021-07-16 07:30:11 CEST;175.114;1.322314;Fri 2021-07-16 07:30:11 CEST;175.114;0.8
A1;Fri 2021-07-16 07:30:12 CEST;176.113;1.322314;Fri 2021-07-16 07:30:12 CEST;176.113;0.8
A1;Fri 2021-07-16 07:30:12 CEST;177.113;1.322314;Fri 2021-07-16 07:30:12 CEST;177.113;0.8
A1;Fri 2021-07-16 07:30:13 CEST;178.113;1.322314;Fri 2021-07-16 07:30:13 CEST;178.113;0.8
A1;Fri 2021-07-16 07:30:13 CEST;179.114;1.322314;Fri 2021-07-16 07:30:13 CEST;179.114;0.8
A1;Fri 2021-07-16 07:30:14 CEST;180.113;1.322314;Fri 2021-07-16 07:30:14 CEST;180.113;0.8
A1;Fri 2021-07-16 07:30:14 CEST;181.114;1.322314;Fri 2021-07-16 07:30:14 CEST;181.114;0.8
A1;Fri 2021-07-16 07:30:15 CEST;182.113;1.322314;Fri 2021-07-16 07:30:15 CEST;182.113;0.8
A1;Fri 2021-07-16 07:30:15 CEST;183.114;1.322314;Fri 2021-07-16 07:30:15 CEST;183.114;0.8
A1;Fri 2021-07-16 07:30:16 CEST;184.114;1.322314;Fri 2021-07-16 07:30:16 CEST;184.114;0.8
A1;Fri 2021-07-16 07:30:16 CEST;185.114;1.322314;Fri 2021-07-16 07:30:16 CEST;185.114;0.8
A1;Fri 2021-07-16 07:30:17 CEST;186.114;1.322314;Fri 2021-07-16 07:30:17 CEST;186.114;0.8
A1;Fri 2021-07-16 07:30:17 CEST;187.114;1.322314;Fri 2021-07-16 07:30:17 CEST;187.114;0.8
A1;Fri 2021-07-16 07:30:18 CEST;188.115;1.322314;Fri 2021-07-16 07:30:18 CEST;188.115;0.8
A1;Fri 2021-07-16 07:30:18 CEST;189.114;1.322314;Fri 2021-07-16 07:30:18 CEST;189.114;0.8
A1;Fri 2021-07-16 07:30:19 CEST;190.113;1.322314;Fri 2021-07-16 07:30:19 CEST;190.113;0.8
A1;Fri 2021-07-16 07:30:19 CEST;191.114;1.322314;Fri 2021-07-16 07:30:19 CEST;191.114;0.8
A1;Fri 2021-07-16 07:30:20 CEST;192.113;1.322314;Fri 2021-07-16 07:30:20 CEST;192.113;0.8
A1;Fri 2021-07-16 07:30:20 CEST;193.114;1.322314;Fri 2021-07-16 07:30:20 CEST;193.114;0.8
A1;Fri 2021-07-16 07:30:21 CEST;194.113;1.322314;Fri 2021-07-16 07:30:21 CEST;194.113;0.8
A1;Fri 2021-07-16 07:30:21 CEST;195.114;1.322314;Fri 2021-07-16 07:30:21 CEST;195.114;0.8
A1;Fri 2021-07-16 07:30:22 CEST;196.113;1.322314;Fri 2021-07-16 07:30:22 CEST;196.114;0.8
A1;Fri 2021-07-16 07:30:22 CEST;197.116;1.322314;Fri 2021-07-16 07:30:22 CEST;197.116;0.8
A1;Fri 2021-07-16 07:30:23 CEST;198.113;1.322314;Fri 2021-07-16 07:30:23 CEST;198.113;0.8
A1;Fri 2021-07-16 07:30:23 CEST;199.114;1.322314;Fri 2021-07-16 07:30:23 CEST;199.114;0.8
A1;Fri 2021-07-16 07:30:24 CEST;200.114;1.322314;Fri 2021-07-16 07:30:24 CEST;200.114;0.8
A1;Fri 2021-07-16 07:30:24 CEST;201.114;1.322314;Fri 2021-07-16 07:30:24 CEST;201.114;0.8
A1;Fri 2021-07-16 07:30:25 CEST;202.113;1.322314;Fri 2021-07-16 07:30:25 CEST;202.113;0.8
A1;Fri 2021-07-16 07:30:25 CEST;203.114;1.322314;Fri 2021-07-16 07:30:25 CEST;203.114;0.8
A1;Fri 2021-07-16 07:30:26 CEST;204.113;1.322314;Fri 2021-07-16 07:30:26 CEST;204.113;0.8
